,precision,recall,f1-score,support
surprise,0.6918767507002801,0.7507598784194529,0.7201166180758017,329.0
fear,0.2017167381974249,0.6351351351351351,0.30618892508143325,74.0
disgust,0.27380952380952384,0.575,0.3709677419354839,160.0
happy,0.9400244798041616,0.6481012658227848,0.7672327672327672,1185.0
sad,0.643298969072165,0.6527196652719666,0.6479750778816199,478.0
angry,0.509090909090909,0.691358024691358,0.5863874345549738,162.0
neutral,0.6967741935483871,0.6352941176470588,0.6646153846153846,680.0
accuracy,0.6551499348109517,0.6551499348109517,0.6551499348109517,0.6551499348109517
macro avg,0.5652273663175502,0.6554811552839652,0.5804977070539235,3068.0
weighted avg,0.7379625515275693,0.6551499348109517,0.6795199898459104,3068.0
