,precision,recall,f1-score,support
surprise,0.7619047619047619,0.8753799392097265,0.8147100424328148,329.0
fear,0.66,0.44594594594594594,0.532258064516129,74.0
disgust,0.5471698113207547,0.54375,0.5454545454545454,160.0
happy,0.9553571428571429,0.9029535864978903,0.928416485900217,1185.0
sad,0.8209606986899564,0.7866108786610879,0.8034188034188035,478.0
angry,0.7257142857142858,0.7839506172839507,0.7537091988130564,162.0
neutral,0.7802197802197802,0.8352941176470589,0.8068181818181818,680.0
accuracy,0.8308344198174706,0.8308344198174706,0.8308344198174706,0.8308344198174706
macro avg,0.7501894972438118,0.7391264407493799,0.7406836174791068,3068.0
weighted avg,0.8343176106820943,0.8308344198174706,0.8310444607814018,3068.0
