Training started: 2026-05-19T19:48:32.976756
Embedding dim: 128
Batch size: 32
Optimizer: Adam
Learning rate: 0.001
Triplet margin: 0.3

Epoch    Loss           Cosine AUC       Euclidean AUC
------------------------------------------------------
1        0.556660       0.789112         0.789112
1        0.555021       0.758732         0.758732
2        0.391020       0.794454         0.794455
3        0.323767       0.800917         0.800917
1        0.638563       0.728505         0.728505
1        0.643899       0.750565         0.750565
2        0.533292       0.765276         0.765276
3        0.494544       0.775037         0.775037
4        0.468795       0.775181         0.775181
1        0.165271       0.774116         0.774116
2        0.119982       0.791040         0.791040
3        0.102545       0.815465         0.815465
4        0.091911       0.821394         0.821394
5        0.085517       0.829910         0.829910
6        0.080170       0.841828         0.841828
7        0.076627       0.840531         0.840531
8        0.073777       0.844029         0.844029
9        0.071788       0.838270         0.838270
10       0.069929       0.852527         0.852527
11       0.067551       0.850690         0.850690
12       0.066553       0.850047         0.850047
13       0.065272       0.853234         0.853234
14       0.063715       0.850899         0.850899
1        0.167642       0.767389         0.767389
1        0.256591       0.726818         0.765439
2        0.159570       0.754961         0.766478
3        0.131792       0.778393         0.792960
4        0.117064       0.780932         0.809715
5        0.108017       0.792373         0.833357
6        0.102505       0.803309         0.840647
7        0.097642       0.813548         0.842885
8        0.095007       0.812822         0.844173
9        0.091528       0.819904         0.850639
10       0.088674       0.820313         0.851452
1        0.259076       0.742134         0.753831
2        0.156396       0.779600         0.787788
3        0.133870       0.794589         0.801484
4        0.120191       0.791264         0.827807
5        0.111612       0.788957         0.820745
6        0.106293       0.803739         0.834231
1        0.251594       0.726908         0.723048
2        0.162176       0.765589         0.758414
3        0.134595       0.784096         0.786053
4        0.119742       0.791530         0.795005
5        0.109997       0.799185         0.825152
6        0.102777       0.816182         0.839114
7        0.098379       0.812465         0.838482
8        0.094353       0.826804         0.850122
9        0.092140       0.824825         0.849529
10       0.089577       0.837857         0.847881
11       0.087394       0.824911         0.869324
12       0.086566       0.825124         0.862231
13       0.084834       0.822686         0.862362
14       0.078723       0.832023         0.857178
15       0.077051       0.838514         0.867545
16       0.076589       0.835560         0.868173
17       0.075526       0.832005         0.867246
18       0.074574       0.831337         0.856311
19       0.072501       0.832390         0.863435
20       0.071718       0.831540         0.864727
